	Depth（nm）	Load（mN）			Depth（nm）	Load（mN）			Depth（nm）	Load（mN）				点位	时间	Depth（nm）	Load（mN）			Depth（nm）	Load1（mN）	Load2（mN）	Load3（mN）
1.850421	1677.937202	17.3225		2.415858	1391.140441	23.40436		1.932802	1504.709484	18.378				1#	3.213247	2416.069488	30.96839		3.213247	2416.069488	30.96839	30.96745	30.96745
1.910423	1713.065689	17.93591		2.475655	1412.310561	24.00544		1.989036	1530.330465	18.96504				1#	3.264208	2440.6301	31.51216		3.264208	2440.6301	31.51216	31.5675	31.5675
1.970139	1748.058544	18.53205		2.535943	1434.48603	24.60864		2.044883	1555.431038	19.54755				1#	3.321201	2468.601835	32.05488		3.321201	2468.601835	32.05488	32.1731	32.1731
2.029571	1782.754454	19.13646		2.59659	1457.237654	25.20683		2.102621	1581.397464	20.09388				1#	3.379263	2496.502977	32.63522		3.379263	2496.502977	32.63522	32.76987	32.76987
2.08564	1815.429049	19.70046		2.647938	1475.921401	25.76404		2.162937	1608.042953	20.68456				1#	3.436958	2523.865062	33.21248		3.436958	2523.865062	33.21248	33.35432	33.35432
2.142842	1849.208864	20.30248		2.709079	1496.092463	26.3333		2.223177	1632.884853	21.28918				1#	3.494713	2551.320295	33.78711		3.494713	2551.320295	33.78711	33.94523	33.94523
2.195847	1881.76998	20.81692		2.761012	1512.942344	26.89176		2.279226	1656.739171	21.86863				1#	3.554875	2578.416584	34.38088		3.554875	2578.416584	34.38088	34.53852	34.53852
2.255344	1916.179068	21.38232		2.821332	1531.565397	27.46412		2.335661	1679.559565	22.42877				1#	3.616047	2606.557836	34.98622		3.616047	2606.557836	34.98622	35.13485	35.13485
2.315389	1951.380723	21.98529		2.877332	1547.813344	28.0393		2.395623	1704.466811	23.01395				1#	3.677146	2635.622978	35.60674		3.677146	2635.622978	35.60674	35.65901	35.65901
2.375702	1986.517156	22.58785		2.937382	1565.662163	28.62556		2.455045	1728.552578	23.61208				1#	3.733823	2661.77219	36.18377		3.733823	2661.77219	36.18377	36.22594	36.22594
